"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"OTU661.NN.Blautia_wexlerae_EF036467.D.94_9",7,40,12,140,18,22,48,21,9,69,56,19,363,7,14,23,32,82,9,52,2,0,31,0,0,1,17,9,374,10,30,0,0,30,21,32,6,106,23
"OTU673.NN.Ruminococcus_callidus_X85100.D.93_8",0,9,35,0,0,1,0,0,926,0,0,30,511,2707,0,0,0,0,0,5809,80,0,1,4,0,1,0,0,7,1850,1,2,0,0,0,1,0,0,22
"OTU694.NN.Clostridium_clariflavum_NR_102987_1.D.85_2",0,0,0,3,0,64,4,81,119,42,74,11,38,2,31,73,15,1,105,68,7,0,6,0,0,3,0,16,90,7,24,0,0,0,9,142,1,5,58
"OTU699.NN.Clostridium_methylpentosum_Y18181.D.88_8",125,0,2,6,1,24,1,25,0,0,12,2,1,3,25,25,20,4,11,48,0,0,0,0,0,0,4,2,0,13,3,0,0,0,49,24,6,27,5
"OTU700.NN.Oscillibacter_valericigenes_AB238598.D.90_8",17,0,0,1,0,97,4,62,23,0,6,0,2,45,0,0,0,17,1,5,0,0,5,0,0,0,1,0,0,13,3,0,4,0,9,2,1,63,12
"OTU761.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_2",0,0,1,13,6,12,3,9,39,147,5,1,8,12,945,1,332,84,293,3,1,0,13,0,0,0,1,0,0,1,146,1,0,21,3,27,1,1,25
"OTU767.NN.Anoxystipes_fissicatena_NR_104800_1.D.93_6",0,0,0,13,0,0,1,1,26,4,24,2,173,2,24,17,1,11,8,3,45,0,0,0,0,0,16,0,0,5,2,0,0,0,1,1,2,0,0
"OTU790.NN.Barnesiella_intestinihominis_AB370251.D.84_6",0,6,28,5,0,0,0,0,2,5866,0,1352,4,756,0,0,0,0,1,0,1863,0,1077,0,0,0,241,2287,8,2248,0,0,0,1,1,2,4474,1,4707
"OTU798.NN.Oscillibacter_valericigenes_AB238598.D.90_1",5,4,0,6221,605,0,32,314,44,0,239,1,576,5920,0,0,0,2,1,2,3877,0,0,0,1,0,0,12,0,0,0,0,0,0,17,421,515,1,1
"OTU80.NN.Eubacterium_desmolans_EUBRRDO.D.94_1",0,0,42,17,0,238,1,0,0,6,20,0,65,4,11,4,0,0,13,4,4,0,2,0,0,2,0,131,0,2,2,0,0,0,1,0,0,8,1
"OTU807.NN.Soleaferrea_massiliensis_JX101688.D.86_9",0,10,42,0,0,3,1,0,2,0,136,25,1,0,0,123,0,0,0,5,3,1,0,1,0,0,0,0,15,3976,0,1,0,0,0,0,51,0,38
"OTU808.NN.Eubacterium_ramulus_EUBRRDT.D.95_9",85,0,0,15,3,0,1,6,0,41,45,0,47,531,2,1,0,0,41,5,12,0,3,0,0,0,0,1,0,0,18,0,0,0,17,1,4,0,0
"OTU810.NN.Soleaferrea_massiliensis_JX101688.D.87_6",0,0,0,0,0,4,15,0,1,0,0,0,2,0,0,0,0,135,0,514,0,1,1898,0,0,41,0,0,0,0,890,3,103,1,43,0,0,0,0
"OTU82.NN.Clostridium_lactatifermentans_AY033434.D.93_1",0,0,0,0,0,0,1,3,7,5,3,0,4,0,0,4,9,0,6,20,0,0,0,0,0,0,3,6,0,0,0,0,0,0,7,5,0,0,7
"OTU84.NN.Robinsoniella_peoriensis_AF445258.D.93_1",11,0,3,1,0,0,0,1,0,2,7,0,17,3,4,0,6,3,5,0,1,0,2,0,0,0,3,0,0,4,0,0,8,0,0,1,1,8,0
"OTU840.NN.Oscillibacter_valericigenes_AB238598.D.94_8",0,1,0,15,5,0,0,3,4,11,3,0,1,11,12,32,2,3,4,34,1,0,2,0,0,0,2,53,0,18,11,0,10,0,3,5,0,0,3
"OTU841.NN.Eubacterium_saphenum_GU427005.D.91_9",21,1,0,72,15,0,0,2,51,7,12,12,7,46,42,23,11,195,16,1,83,0,0,0,0,0,19,61,0,10,5,0,0,11,39,66,3,27,0
"OTU845.NN.Alistipes_onderdonkii_AB554231.D.96_7",3397,15,3209,539,370,482,40,608,4572,370,5721,2871,1036,390,413,24100,19180,2694,14860,5164,7,3,12,3,1,4,472,39,2,280,22790,15,8446,3477,4620,128,132,2,224
"OTU855.NN.Roseburia_faecis_AY804149.D.95_5",3,3,0,3084,11,34,0,29,351,22,190,2,26,1,5,99,8,28,22,1017,27,1,6,0,28,1,7,29,10,36,7,2,4,63,1,2,3,17,832
"OTU867.NN.Christensenella_minuta_AB490809.D.91_9",1,0,0,11,0,0,1,16,0,31,5,1,0,20,19,12,16,2,0,310,0,0,0,0,0,1,0,0,0,0,10,0,5,0,0,5,0,0,9
"OTU869.NN.Papillibacter_cinnamivorans_AF167711.D.90_2",0,0,0,86,0,0,0,0,77,0,13,41,3,0,0,0,10,31,0,3,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,6,14,0,0
"OTU877.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_8",0,1,0,12,4,5,2,51,0,0,7,0,39,0,31,1,0,91,5,30,11,0,71,0,0,0,0,24,0,0,0,2,2,0,4,37,0,11,0
"OTU902.NN.Prevotella_loescheii_AB547688.D.88_8",0,0,0,0,0,0,0,0,53,57,33,86,40,99,186,30,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,8,75,11
"OTU93.NN.Ruminococcus_bromii_DQ882649.D.96_3",1,33,112,5,0,12,79,49,762,3128,171,3,847,1537,26470,809,2896,3,3343,1293,124,2,0,0,81,0,1,9,20,5418,6,7,7,8,6651,5495,6435,4,1735
"OTU976.NN.Eubacterium_sulci_AJ006963.D.91_7",0,0,0,0,0,0,0,1,0,2,2,0,1,59,0,24,2,6,0,19,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,2,0,28,8
"OTU988.NN.Barnesiella_intestinihominis_AB370251.D.87_1",2,93,0,0,887,393,0,4,3,129,143,0,180,0,59,0,15,10,2966,236,0,0,3,0,0,0,421,1,0,2,0,1,106,0,14,0,65,611,33
"OTU995.NN.Gemmiger_formicilis_GU562446.D.92",29891,41,25,7044,1486,7883,92,1084,1477,1136,3160,2471,1635,1371,4033,2724,698,874,1401,22960,1570,3,3168,568,7539,98,2658,1429,477,1613,313,101,37,386,13955,2074,421,15208,2448
"Parabacteroides_goldsteinii",3,0,0,0,0,0,2,2,220,20,10,25,0,3,18,2,0,1,0,0,0,0,0,0,0,0,5,121,0,1,0,0,0,0,15,0,0,4,2
"Parabacteroides_merdae",1,511,1,15,37,193,4,0,281,0,516,662,799,228,563,1296,438,0,1,80,0,0,5,0,0,23,384,169,0,2,0,1,0,1,853,11,41,675,1972
"Paraprevotella_clara",0,4,0,255,187,2,21,0,3,772,1512,257,0,360,0,427,264,2,0,0,57,2,0,0,0,0,0,15,3,4,0,0,0,0,488,2,194,0,674
"Parasutterella_excrementihominis",0,0,1,49,14,42,1,5,1,130,0,6,51,0,1294,11,0,68,361,1,0,0,0,0,0,0,13,2,22,10,0,0,0,1,0,2,16,0,1829
"Pelomonas_saccharophila",6,42,46,16,13,42,0,16,8,11,0,4,2,30,18,6,16,10,47,5,8,0,7,3,1,4,11,19,1,13,12,15,10,50,23,25,2,16,2
"Phascolarctobacterium_faecium",3,8,5,856,1248,7,32,329,12600,1,0,37,5,44,9504,0,1,7064,36320,0,16,1,29,1,0,0,0,7,0,9,1,18,2,1,0,29,1186,6424,0
"Phascolarctobacterium_succinatutens",6,3,11,14,0,0,0,0,1,0,0,0,1,433,0,1,0,1,3,1,2,0,0,0,0,0,2772,10170,0,385,0,1,0,0,0,2,0,0,0
"Phenylobacterium_haematophilum",18,26,37,9,6,31,1,2,16,3,1,7,2,36,57,7,25,2,25,8,3,5,7,7,1,4,5,11,0,18,1,4,5,30,18,19,0,28,7
"Ruminococcus_callidus",0,1,2,37,0,0,30,125,0,41,0,0,98,6,2585,637,213,0,0,0,33,0,0,0,1,0,0,0,3,0,2,1,0,1,1,753,0,0,70
"Ruminococcus_lactaris",39,4,0,93,0,5,3,0,1,27,457,0,15,0,11,299,12,41,34,56,5,0,10,0,0,0,1,1,290,10,8,0,5,0,622,1,2,0,0
"Senegalemassilia_anaerobia",0,0,0,4,0,0,0,2,0,0,8,0,1,5,0,3,0,0,0,0,6,0,10,0,0,0,4,29,0,0,0,0,0,0,20,0,0,0,0
"Shigella_sonnei",136,555,2,9,9,64,0,3,156,8,6,35,38,98,0,22,9,903,8,0,161,1690,1,172,0,24,295,7843,3366,11,3,3612,567,51,2351,2,305,39,32
"Slackia_isoflavoniconvertens",52,0,0,4,0,0,0,0,0,0,2,4,28,5,0,0,0,0,0,15,16,0,6,0,0,0,14,1,0,2,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus",0,0,0,10,36,1,1,0,18,1,0,2,0,3,28,4,7,4,3,0,2,4,0,0,9,1,18,10,531,1,2,18,0,132,0,1,0,7,0
"Streptococcus_infantis",223,138,2,33,11,10,9,2,9,3,17,9,9,79,9,10,257,51,32,24,13,24,2,3,343,4,7,66,295,11,12,23,0,65,0,5,1,124,0
"Sutterella_wadsworthensis",2,150,156,150,877,1402,3,168,41,0,0,3,27,12,0,28,0,2942,1,72,223,0,2,0,0,0,1378,2,4121,0,0,2,0,5,0,0,0,1517,0
"Turicibacter_sanguinis",10,6703,2,1901,4,119,1,4445,2,1326,1865,2215,26,23,271,8,429,0,273,6,0,1,489,1,0,0,0,6,3,65,2179,2,0,201,2,118,0,0,859
"Tyzzerella_lactatifermentans",328,0,0,0,0,10,0,7,36,4,0,4,0,9,0,0,2,0,3,2,1,0,10,6,0,0,12,1,0,8,9,0,9,57,0,1,0,0,1
"Veillonella_rogosae",39,5,0,6,3,10,1,2,0,1,1,0,1,0,1,0,11,14,0,0,7,2,0,0,102,142,268,9,299,0,2,250,0,28,0,0,2,57,0
"NA",13546,22214,10327,29991,6759,37459,1966,19788,6723,9722,3107,5948,9722,12917,12650,16770,27678,11878,6422,25514,4672,336,54573,2169,45537,3271,12383,3669,46174,18420,24849,25802,5776,6348,45909,10801,1879,36002,39112
