"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083"
"OTU371.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_5",56,0,4,12,8,2175,0,42,6,0,0,26,44,0,62,0,71,11,5,86,0,26,3,0,39,87,7,0,0,7,0,0,1,0,13
"OTU379.NN.Dialister_succinatiphilus_AB370249.D.96_3",0,2,0,0,0,1,0,0,0,0,0,598,1612,7109,35,38,0,0,2,3,1248,0,5,5,2,0,0,0,1095,2822,0,0,0,1,0
"OTU383.NN.Clostridium_populeti_X71853.D.91_5",1,0,4,0,0,0,1,0,140,39,561,26,78,32,0,2,18,119,6,2,10,67,2,214,387,116,16,557,74,89,0,0,386,57,353
"OTU392.NN.Aggregatibacter_aphrophilus_EF605278.D.95_1",2,64,1,341,0,223,3,2,0,0,29,0,0,0,14,0,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,11,0,0,0
"OTU395.NN.Clostridium_bolteae_AJ508452.D.93_5",13,2,5,6,1,14,7,9,1,16,16,16,173,0,173,4,55,6,17,39,0,43,0,57,28,11,14,0,29,398,6,0,16,166,151
"OTU402.NN.Christensenella_minuta_AB490809.D.85_4",0,0,0,0,0,0,0,70,8,0,17,0,8,0,0,0,155,64,9,1,0,0,1,0,0,0,111,0,329,0,0,0,0,0,0
"OTU405.NN.Barnesiella_intestinihominis_AB370251.D.89_9",0,0,0,0,24,2,0,40,186,0,0,0,18,241,0,0,20,9,0,41,43,89,0,0,0,2,17,30,0,0,36,0,0,0,0
"OTU407.NN.Soleaferrea_massiliensis_JX101688.D.87_4",0,0,0,0,0,0,1,0,1,0,287,0,0,0,0,0,71,1,17,0,2,0,4,2993,1,22,18,0,12,7,0,0,0,1,8
"OTU42.NN.Ruminococcus_gauvreauii_EF529620.D.88_4",2,0,0,0,0,0,0,0,0,9,3,1,0,0,0,0,0,4,2,8,11,0,2,11,1,0,0,0,4,2,1,0,0,0,0
"OTU426.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_3",22,889,242,15,0,27,0,17,2,0,47,0,12,0,15,68,29,4,0,47,13,21,8,18,11,0,43,146,23,41,71,0,57,11,42
"OTU434.NN.Clostridium_lactatifermentans_AY033434.D.95_2",0,0,0,112,46,0,0,0,0,0,153,5,26,1,19,0,0,19,0,0,0,0,0,0,136,179,38,36,0,0,0,0,0,4,0
"OTU436.NN.Intestinimonas_butyriciproducens_JX101685_1.D.92_9",0,0,0,0,1,0,0,0,0,24,75,0,31,0,0,0,27,272,34,186,0,0,0,0,9,1792,60,0,0,0,0,0,0,0,0
"OTU468.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_9",0,0,0,0,0,0,0,0,6,13,0,5,0,12,0,14,0,36,0,8,1,0,4,0,8,0,0,12,21,5,0,0,187,18,0
"OTU470.NN.Soleaferrea_massiliensis_JX101688.D.87_5",1,0,0,3,0,0,40,245,1,0,67,0,656,1,0,0,469,0,0,0,0,0,4,1574,0,193,0,0,8,1496,0,0,0,0,61
"OTU471.NN.Clostridium_lituseburense_CLORR16SC.D.96_6",20,9290,3,385,1,15,6,4999,4,382,2848,719,229,19,6461,27,59,72,159,6733,1309,478,381,6036,83,109,21510,1339,1140,3494,2053,5,412,540,18
"OTU481.NN.Clostridium_lactatifermentans_AY033434.D.85_5",523,0,0,0,0,83,0,0,2,0,0,0,0,0,0,0,19,1,0,8,83,0,0,1,0,0,0,0,3,7,8,0,0,29,0
"OTU482.NN.Eubacterium_sulci_AJ006963.D.89_4",0,0,0,8,14,1,4,15,110,0,8,1,30,98,5,0,27,15,58,0,0,0,29,0,0,53,5,0,0,30,0,0,0,0,22
"OTU483.NN.Lactobacillus_rogosae_GU269544.D.95_9",0,16,0,7,19,127,0,21,18,37,12,0,6,17,6,0,153,34,26,22,2,1,6,41,41,41,5,0,11,0,14,2,33,117,0
"OTU500.NN.Oscillibacter_valericigenes_AB238598.D.90_6",0,11,39,1379,13,0,13,0,16,0,154,104,553,48,1,0,419,809,706,0,0,117,36,0,1,484,62,0,0,306,1,0,0,0,117
"OTU506.NN.Christensenella_minuta_AB490809.D.83_8",0,0,2,190,0,1,18,50,7,416,1173,0,776,0,0,0,4787,236,766,1118,2,133,1493,2,8,3452,210,1255,17,9,91,0,1081,0,1
"OTU516.NN.Prevotella_copri_AB064923.D.96_6",32,145,359,11757,62415,101,13021,24775,67,0,2,3566,15974,4275,16,0,34,5,16,92,169,1,8,53,21,4,12834,1,13,24,11,16,2,7,2
"OTU520.NN.Clostridium_bolteae_AJ508452.D.93_9",0,0,0,2,0,0,0,0,0,3,1,0,1,3,1,1,8,0,1,0,0,0,1,0,0,0,10,11,2,0,1,0,4,116,65
"OTU521.NN.Papillibacter_cinnamivorans_AF167711.D.89_6",0,0,0,19,7,0,0,1,1,1,5,0,12,10,14,17,12,6,0,14,0,0,7,0,18,18,0,16,4,1,83,1,0,0,6
"OTU525.NN.Clostridium_clariflavum_NR_102987_1.D.78_1",0,0,0,0,0,0,0,0,1,23,193,0,84,0,1,0,57,0,0,0,0,0,649,1,0,146,151,0,2,663,0,0,0,0,21
"OTU555.NN.Christensenella_minuta_AB490809.D.88_7",0,0,0,0,0,0,0,18,1,8,22,4,0,0,0,12,0,0,1,0,115,0,156,50,4,0,0,32,177,0,0,0,0,0,4
"OTU561.NN.Roseburia_inulinivorans_AJ270474.D.91_4",0,1,0,2,0,0,8,16,0,12,144,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,3
"OTU58.NN.OscillospiraFlavonifractor_plautii_Y18187.D.95_5",0,0,0,4,1,0,0,0,2,17,6,0,0,170,72,24,1,8,3,10,15,4,5,54,0,0,0,0,3,3,0,0,0,2,0
"OTU60.NN.Ruminococcus_bromii_DQ882649.D.89_6",1,0,0,5,0,0,0,18,23,55,9,3,1,0,23,8,0,0,1,20,58,11,1,14,16,0,7,0,7,72,17,0,11,352,42
"OTU622.NN.Clostridium_methylpentosum_Y18181.D.87_5",0,0,0,0,2,0,0,30,6,6,19,2,109,0,0,0,147,26,26,0,0,0,4,0,0,45,7,0,2,0,0,0,0,0,0
"OTU644.NN.Dorea_massiliensis_JX101687.D.88_1",111,208,22,152,163,4,16,518,810,104,434,155,1831,335,165,522,1042,50,21,694,551,0,487,184,1,110,130,4,779,186,89,311,182,150,1029
"OTU657.NN.Soleaferrea_massiliensis_JX101688.D.88_5",0,0,0,0,0,0,2,189,0,111,0,0,364,210,0,0,178,463,76,493,1,0,0,0,4,0,0,251,1,0,0,0,0,0,0
"OTU661.NN.Blautia_wexlerae_EF036467.D.94_9",7,40,12,140,18,22,48,21,9,69,56,19,363,7,14,23,1147,82,68,175,83,15,178,135,50,519,114,321,78,36,177,0,64,980,201
"OTU673.NN.Ruminococcus_callidus_X85100.D.93_8",0,9,35,0,0,1,0,0,926,0,0,30,511,2707,0,0,86,0,4,0,1,618,4,2,0,74,0,0,0,1255,0,0,0,0,12
"OTU694.NN.Clostridium_clariflavum_NR_102987_1.D.85_2",0,0,0,3,0,64,4,81,119,42,74,11,38,2,31,73,329,32,74,71,56,185,35,71,54,63,15,60,144,18,84,0,169,101,35
"OTU699.NN.Clostridium_methylpentosum_Y18181.D.88_8",125,0,2,6,1,24,1,25,0,0,12,2,1,3,25,25,47,14,1,47,8,15,1,4,8,0,14,15,49,64,8,0,102,0,18
"OTU700.NN.Oscillibacter_valericigenes_AB238598.D.90_8",17,0,0,1,0,97,4,62,23,0,6,0,2,45,0,0,13,16,2,7,37,5,5,5,59,2,2,6,55,19,2,0,59,8,11
"OTU761.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_2",0,0,1,13,6,12,3,9,39,147,5,1,8,12,945,1,40,0,0,125,4,4,34,4955,10,37,8,2,74,13,0,0,33,10,0
"OTU767.NN.Anoxystipes_fissicatena_NR_104800_1.D.93_6",0,0,0,13,0,0,1,1,26,4,24,2,173,2,24,17,41,3,1,6,6,17,21,40,4,201,1,2,7,6,6,79,2,0,23
"OTU790.NN.Barnesiella_intestinihominis_AB370251.D.84_6",0,6,28,5,0,0,0,0,2,5866,0,1352,4,756,0,0,0,0,4,2,0,0,1,2,25,0,3,0,3,8,0,1,0,1,0
"OTU798.NN.Oscillibacter_valericigenes_AB238598.D.90_1",5,4,0,6221,605,0,32,314,44,0,239,1,576,5920,0,0,1725,1036,756,1711,3,2654,110,74,1197,521,131,488,2,76,0,0,0,0,193
"OTU80.NN.Eubacterium_desmolans_EUBRRDO.D.94_1",0,0,42,17,0,238,1,0,0,6,20,0,65,4,11,4,394,0,4,56,20,3,0,8,0,245,79,4,10,51,0,0,18,6,0
"OTU807.NN.Soleaferrea_massiliensis_JX101688.D.86_9",0,10,42,0,0,3,1,0,2,0,136,25,1,0,0,123,638,0,0,0,0,0,520,0,0,248,0,0,427,0,1,0,293,0,31
"OTU808.NN.Eubacterium_ramulus_EUBRRDT.D.95_9",85,0,0,15,3,0,1,6,0,41,45,0,47,531,2,1,46,9,0,13,1,14,18,0,0,318,69,63,0,4,0,0,0,0,108
"OTU810.NN.Soleaferrea_massiliensis_JX101688.D.87_6",0,0,0,0,0,4,15,0,1,0,0,0,2,0,0,0,29,0,0,0,0,0,1,3212,370,0,1043,0,21,4,0,0,0,960,74
"OTU82.NN.Clostridium_lactatifermentans_AY033434.D.93_1",0,0,0,0,0,0,1,3,7,5,3,0,4,0,0,4,6,2,1,0,31,1,1,3,1,14,1,0,0,3,4,0,6,6,2
"OTU84.NN.Robinsoniella_peoriensis_AF445258.D.93_1",11,0,3,1,0,0,0,1,0,2,7,0,17,3,4,0,312,12,0,13,0,2,12,13,14,170,26,31,6,1,5,0,0,20,16
"OTU840.NN.Oscillibacter_valericigenes_AB238598.D.94_8",0,1,0,15,5,0,0,3,4,11,3,0,1,11,12,32,1,16,3,27,22,1,4,17,15,2,7,38,20,5,4,0,29,141,0
"OTU841.NN.Eubacterium_saphenum_GU427005.D.91_9",21,1,0,72,15,0,0,2,51,7,12,12,7,46,42,23,34,18,8,47,37,140,32,1,27,29,1,69,140,45,46,0,0,0,34
"OTU845.NN.Alistipes_onderdonkii_AB554231.D.96_7",3397,15,3209,539,370,482,40,608,4572,370,5721,2871,1036,390,413,24100,179,853,22740,244,5572,28,1344,5375,301,35,1431,3872,5736,3300,4364,1961,3323,3,472
"OTU855.NN.Roseburia_faecis_AY804149.D.95_5",3,3,0,3084,11,34,0,29,351,22,190,2,26,1,5,99,97,16,4,36,4,12,1175,27,91,21,10,32,9,903,52,0,9,20,352
"OTU857.NN.Eubacterium_sulci_AJ006963.D.90_2",0,0,0,0,0,0,0,2,25,7,29,5,16,0,0,23,8,4,2,128,0,0,0,14,2,3,19,0,170,0,0,0,0,0,12
"OTU867.NN.Christensenella_minuta_AB490809.D.91_9",1,0,0,11,0,0,1,16,0,31,5,1,0,20,19,12,6,46,8,73,0,4,13,14,17,0,14,5,2,142,0,0,31,3,0
"OTU869.NN.Papillibacter_cinnamivorans_AF167711.D.90_2",0,0,0,86,0,0,0,0,77,0,13,41,3,0,0,0,6,46,7,1,0,17,1,5,0,0,38,5,174,2,0,0,0,0,921
"OTU877.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_8",0,1,0,12,4,5,2,51,0,0,7,0,39,0,31,1,116,0,1,0,5,81,1,0,0,99,4,0,0,0,0,0,0,0,39
"OTU902.NN.Prevotella_loescheii_AB547688.D.88_8",0,0,0,0,0,0,0,0,53,57,33,86,40,99,186,30,8,59,88,141,161,0,32,617,63,7,52,0,122,70,55,30,0,5,10
"OTU916.NN.Eubacterium_siraeum_EUBRRDV.D.93_2",0,0,0,0,0,0,2,0,0,0,5,1,105,0,0,0,843,4,51,355,1,59,5,245,134,58,2,766,385,13,0,0,0,0,2
"OTU924.NN.Barnesiella_intestinihominis_AB370251.D.85_8",1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,3,19,10,0,2,54,7,0,0,0,5,0,2,0,0,0,0
"OTU93.NN.Ruminococcus_bromii_DQ882649.D.96_3",1,33,112,5,0,12,79,49,762,3128,171,3,847,1537,26470,809,1243,860,695,3269,2812,181,379,7800,623,8671,2431,499,5068,1996,1295,9,327,337,5394
"OTU957.NN.Anoxystipes_fissicatena_NR_104800_1.D.93_2",2,0,0,0,0,80,1,0,0,0,6,0,38,0,0,0,107,8,6,0,2,0,337,2,0,9,0,44,1,13,7,0,0,34,0
"OTU962.NN.Oscillibacter_valericigenes_AB238598.D.89_7",1,2,0,2070,0,0,1,102,0,41,548,0,1343,2,0,0,182,0,1187,0,0,1,0,1,0,385,14,0,127,164,0,0,0,0,13
"OTU970.NN.Catabacter_hongkongensis_AB671763.D.84_7",0,0,0,5,0,0,0,0,0,15,0,0,17,0,0,2,109,18,1,0,0,0,1,32,20,274,1,2,6,0,0,0,0,0,35
"OTU976.NN.Eubacterium_sulci_AJ006963.D.91_7",0,0,0,0,0,0,0,1,0,2,2,0,1,59,0,24,0,0,0,0,21,5,1,17,2,0,0,37,11,3,0,0,30,0,8
"OTU98.NN.Christensenella_minuta_AB490809.D.84_9",0,0,0,0,0,0,0,2,0,61,26,5,9,21,0,158,3,0,2,0,26,0,6,42,25,0,9,0,29,0,0,0,0,0,12
"OTU988.NN.Barnesiella_intestinihominis_AB370251.D.87_1",2,93,0,0,887,393,0,4,3,129,143,0,180,0,59,0,125,252,0,356,1193,0,646,1,347,110,9,110,564,944,72,1,0,0,426
"OTU995.NN.Gemmiger_formicilis_GU562446.D.92",29891,41,25,7044,1486,7883,92,1084,1477,1136,3160,2471,1635,1371,4033,2724,5413,803,1316,6194,6572,2510,1400,5376,2739,5484,834,2742,5021,888,2066,11,6191,17916,8738
"OTU997.NN.Catabacter_hongkongensis_AB671763.D.82_9",0,0,0,2,0,0,0,2,0,1,10,2,0,0,15,0,1,19,0,9,0,0,6,0,0,2,0,0,0,15,9,0,0,0,0
"Parabacteroides_goldsteinii",3,0,0,0,0,0,2,2,220,20,10,25,0,3,18,2,4,182,60,38,196,0,27,340,29,0,52,364,56,664,26,12,0,0,0
"Parabacteroides_merdae",1,511,1,15,37,193,4,0,281,0,516,662,799,228,563,1296,363,113,137,202,506,0,216,0,7,796,1,0,11,0,533,1,626,1,584
"Paraprevotella_clara",0,4,0,255,187,2,21,0,3,772,1512,257,0,360,0,427,0,0,3,2835,6,0,8,1,4,0,0,0,5,1,0,0,0,0,0
"Parasutterella_excrementihominis",0,0,1,49,14,42,1,5,1,130,0,6,51,0,1294,11,16,0,14,7,7536,564,0,71,10110,2,3,774,71,86,0,42,86,1,78
"Pelomonas_saccharophila",6,42,46,16,13,42,0,16,8,11,0,4,2,30,18,6,0,2,10,19,13,37,4,52,7,1,8,258,12,8,11,6,77,1,2
"Phascolarctobacterium_faecium",3,8,5,856,1248,7,32,329,12600,1,0,37,5,44,9504,0,50,979,13,6751,5,4,16740,7,3,3129,0,12460,37,3,0,3,0,0,2
"Phascolarctobacterium_succinatutens",6,3,11,14,0,0,0,0,1,0,0,0,1,433,0,1,0,0,1,0,4,0,3,7,1,0,0,0,7,1,0,0,0,0,0
"Phenylobacterium_haematophilum",18,26,37,9,6,31,1,2,16,3,1,7,2,36,57,7,0,4,16,37,10,24,2,45,6,0,32,124,6,5,9,16,31,3,1
"Ruminococcus_callidus",0,1,2,37,0,0,30,125,0,41,0,0,98,6,2585,637,164,64,139,2542,1121,0,188,2,92,0,232,376,171,0,0,0,707,29,0
"Ruminococcus_lactaris",39,4,0,93,0,5,3,0,1,27,457,0,15,0,11,299,114,80,24,37,18,33,8,0,49,30,11,158,43,3,0,0,234,0,76
"Shigella_sonnei",136,555,2,9,9,64,0,3,156,8,6,35,38,98,0,22,7,18,24,5,34,0,7,10,4,0,3,0,11,81,0,523,23,0,103
"Slackia_isoflavoniconvertens",52,0,0,4,0,0,0,0,0,0,2,4,28,5,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,88,0,0,7,0,0
"Streptococcus_anginosus",0,0,0,10,36,1,1,0,18,1,0,2,0,3,28,4,1,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,2,0,2
"Streptococcus_infantis",223,138,2,33,11,10,9,2,9,3,17,9,9,79,9,10,7,0,5,14,6,0,7,5,7,1,4,15,31,11,6,0,9,7,7
"Sutterella_wadsworthensis",2,150,156,150,877,1402,3,168,41,0,0,3,27,12,0,28,451,0,37,35,0,0,0,83,0,9,30,0,247,0,473,420,0,0,0
"Turicibacter_sanguinis",10,6703,2,1901,4,119,1,4445,2,1326,1865,2215,26,23,271,8,26,215,1224,2017,8538,597,137,331,15,222,331,3,2651,1216,56,2576,3460,463,31
"Tyzzerella_lactatifermentans",328,0,0,0,0,10,0,7,36,4,0,4,0,9,0,0,5,0,4,8,1,0,1,43,0,1,6,0,7,2,0,0,4,1,0
"Veillonella_rogosae",39,5,0,6,3,10,1,2,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,91,2,13
"NA",13630,22199,10301,30070,6770,37416,1964,19824,7073,10270,3376,6198,9874,12505,14047,17257,19876,13418,18910,13493,21276,24378,9162,19936,16246,13987,21145,9386,14904,27871,11505,21437,18423,46108,25304
