"","log2FC","lfcSE","Pvalues","FDR"
"OTU483|NN=Lactobacillus_rogosae_GU269544|D=95_9",0.097577,0.7129,0.89113,0.97392
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",-0.10028,0.74516,0.89295,0.97392
"Brevundimonas",-0.099278,0.74418,0.89387,0.97392
"OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90_6",0.14179,1.192,0.90531,0.98345
"Anaerofustis_stercorihominis",-0.092399,0.82368,0.91068,0.98635
"Eubacterium_siraeum",0.097648,0.9069,0.91426,0.98729
"Christensenellaceae_3",0.11256,1.1491,0.92197,0.98827
"Clostridiales_6",-0.068576,0.72909,0.92506,0.98827
"OTU657|NN=Soleaferrea_massiliensis_JX101688|D=88_5",0.12041,1.2908,0.92568,0.98827
"Barnesiella_5",0.08911,0.9593,0.92599,0.98827
"Ruminococcaceae_17",0.083507,0.95919,0.93062,0.99031
"Clostridiales_23",0.088811,1.1367,0.93772,0.99258
"OTU1065|NN=OscillospiraFlavonifractor_plautii_Y18187|D=86_6_1",-0.087306,1.1432,0.93912,0.99258
"Actinomyces",-0.062766,0.86575,0.9422,0.99258
"OTU1527|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=93_9",-0.041136,0.62934,0.94788,0.99258
"OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86_7",-0.044953,0.94957,0.96224,0.99258
"Clostridiales",-0.031457,0.67201,0.96266,0.99258
"unclassified",-0.030266,0.67249,0.9641,0.99258
"OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90_2",0.040612,0.97262,0.96669,0.99258
"unclassified_8",-0.029526,0.73861,0.96811,0.99258
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.027962,0.73528,0.96966,0.99258
"OTU136|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=91_2",0.03691,1.0959,0.97313,0.99258
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4",-0.018363,0.60402,0.97575,0.99258
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92_1",0.015919,0.55136,0.97697,0.99258
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.023773,0.91288,0.97922,0.99258
"OTU622|NN=Clostridium_methylpentosum_Y18181|D=87_5",-0.027133,1.0948,0.98023,0.99258
"Oscillospira_1",-0.018624,0.83374,0.98218,0.99258
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6_1",0.02007,0.90489,0.9823,0.99258
"Odoribacter_splanchnicus",0.009156,0.55193,0.98676,0.99258
"OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97",0.01768,1.0953,0.98712,0.99258
"Ruminococcaceae_26",0.017096,1.0607,0.98714,0.99258
"Bacteroides",-0.0066459,0.59767,0.99113,0.99385
"OTU1288|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_8",0.0063363,0.85421,0.99408,0.99408
